
         6073355 function calls (5735582 primitive calls) in 7.982 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 __init__.py:61(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:636(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:646(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:65(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:655(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:684(createLock)
        2    0.001    0.000    0.007    0.003 __init__.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:71(ProcessError)
        4    0.000    0.000    0.004    0.001 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 __init__.py:74(BufferTooShort)
        1    0.000    0.000    0.000    0.000 __init__.py:754(setFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:77(TimeoutError)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.001    0.001 __init__.py:8(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:80(AuthenticationError)
        1    0.000    0.000    0.000    0.000 __init__.py:810(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:817(__init__)
        1    0.001    0.001    0.002    0.002 __init__.py:85(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:86(_decorate_fun)
        1    0.002    0.002    0.002    0.002 __init__.py:88(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:88(Condition)
        1    0.000    0.000    0.000    0.000 __init__.py:881(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:9(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:948(PlaceHolder)
        2    0.000    0.000    0.000    0.000 __init__.py:954(__init__)
        1    0.000    0.000    0.002    0.002 __init__.py:99(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:995(Manager)
        1    0.000    0.000    0.000    0.000 _base.py:109(_AllCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:139(_AcquireFutures)
        1    0.000    0.000    0.000    0.000 _base.py:282(Future)
        1    0.000    0.000    0.001    0.001 _base.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:45(Error)
        1    0.000    0.000    0.000    0.000 _base.py:49(CancelledError)
        1    0.000    0.000    0.000    0.000 _base.py:53(TimeoutError)
        1    0.000    0.000    0.000    0.000 _base.py:535(Executor)
        1    0.000    0.000    0.000    0.000 _base.py:57(_Waiter)
        1    0.000    0.000    0.000    0.000 _base.py:72(_AsCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:94(_FirstCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:14(Storage)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:149(AdaptiveStepsize)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:216(RandomDisplacement)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:230(MinimizerWrapper)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:246(Metropolis)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:36(BasinHoppingRunner)
        1    0.000    0.000    0.000    0.000 _binary.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _binned_statistic.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _components.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:154(DataSource)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:50(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:504(Repository)
        1    0.000    0.000    0.000    0.000 _datasource.py:74(__init__)
        1    0.000    0.000    0.000    0.000 _decomp_polar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decomp_qz.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:26(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:49(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _expm_frechet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:241(MatrixPowerOperator)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:316(LazyOperatorNormInfo)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:336(PackageLoaderDebug)
        1    0.000    0.000    0.000    0.000 _import_tools.py:8(PackageLoader)
       40    0.000    0.000    0.000    0.000 _inspect.py:120(getargspec)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       74    0.000    0.000    0.000    0.000 _inspect.py:152(strseq)
       31    0.000    0.000    0.000    0.000 _inspect.py:159(formatargspec)
        3    0.000    0.000    0.000    0.000 _inspect.py:161(<lambda>)
        1    0.000    0.000    0.000    0.000 _inspect.py:162(<lambda>)
       43    0.000    0.000    0.000    0.000 _inspect.py:163(<lambda>)
       40    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       31    0.000    0.000    0.000    0.000 _inspect.py:39(iscode)
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:196(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:217(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:224(_ctypes)
        1    0.000    0.000    0.003    0.003 _internal.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:152(LineSplitter)
        1    0.000    0.000    0.000    0.000 _iotools.py:248(NameValidator)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:441(ConverterError)
        1    0.000    0.000    0.000    0.000 _iotools.py:448(ConverterLockError)
        1    0.000    0.000    0.000    0.000 _iotools.py:455(ConversionWarning)
        1    0.000    0.000    0.000    0.000 _iotools.py:468(StringConverter)
        1    0.000    0.000    0.000    0.000 _laplacian.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _matfuncs_sqrtm.py:21(SqrtmError)
        1    0.000    0.000    0.000    0.000 _matfuncs_sqrtm.py:6(<module>)
        2    0.000    0.000    0.000    0.000 _methods.py:25(_amax)
        2    0.000    0.000    0.000    0.000 _methods.py:28(_amin)
     7336    0.004    0.000    0.033    0.000 _methods.py:37(_any)
        3    0.000    0.000    0.000    0.000 _methods.py:40(_all)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.001    0.001    0.001    0.001 _minimize.py:8(<module>)
        1    0.000    0.000    0.001    0.001 _multiprocessing_helpers.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _ode.py:1016(lsoda)
        1    0.000    0.000    0.000    0.000 _ode.py:103(ode)
        1    0.001    0.001    0.001    0.001 _ode.py:39(<module>)
        1    0.000    0.000    0.000    0.000 _ode.py:434(complex_ode)
        1    0.000    0.000    0.000    0.000 _ode.py:550(IntegratorConcurrencyError)
        1    0.000    0.000    0.000    0.000 _ode.py:564(IntegratorBase)
        1    0.000    0.000    0.000    0.000 _ode.py:612(vode)
        1    0.000    0.000    0.000    0.000 _ode.py:766(zvode)
        1    0.000    0.000    0.000    0.000 _ode.py:880(dopri5)
        1    0.000    0.000    0.000    0.000 _ode.py:965(dop853)
        1    0.000    0.000    0.000    0.000 _onenormest.py:2(<module>)
        1    0.000    0.000    0.001    0.001 _plotutils.py:1(<module>)
        1    0.001    0.001    0.001    0.001 _polybase.py:19(ABCPolyBase)
        1    0.000    0.000    0.001    0.001 _polybase.py:8(<module>)
        1    0.000    0.000    0.002    0.002 _root.py:7(<module>)
        1    0.000    0.000    0.032    0.032 _scipy_sparse_lsqr_backport.py:50(<module>)
        1    0.000    0.000    0.000    0.000 _solvers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _support.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion.py:14(BaseQuadraticSubproblem)
        1    0.000    0.000    0.000    0.000 _trustregion_dogleg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion_dogleg.py:29(DoglegSubproblem)
        1    0.000    0.000    0.000    0.000 _trustregion_ncg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion_ncg.py:33(CGSteihaugSubproblem)
        1    0.000    0.000    0.000    0.000 _tukeylambda_stats.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _umfpack.py:11(<module>)
        1    0.000    0.000    0.000    0.000 _umfpack.py:13(swig_import_helper)
        2    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _util.py:23(__init__)
        1    0.000    0.000    0.000    0.000 _util.py:5(DeprecatedImport)
        1    0.000    0.000    0.000    0.000 _validation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _version.py:18(NumpyVersion)
        1    0.000    0.000    0.000    0.000 _version.py:7(<module>)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
      353    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
        7    0.000    0.000    0.000    0.000 _weakrefset.py:38(_remove)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       43    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       24    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
       44    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
       15    0.000    0.000    0.001    0.000 abc.py:105(register)
    20/15    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
       66    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
      112    0.001    0.000    0.004    0.000 abc.py:86(__new__)
      185    0.000    0.000    0.001    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.027    0.027 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.000    0.000 anneal.py:120(cauchy_sa)
        1    0.000    0.000    0.000    0.000 anneal.py:134(boltzmann_sa)
        1    0.000    0.000    0.000    0.000 anneal.py:150(_state)
        1    0.000    0.000    0.000    0.000 anneal.py:18(base_schedule)
        1    0.000    0.000    0.000    0.000 anneal.py:4(<module>)
        1    0.000    0.000    0.000    0.000 anneal.py:96(fast_sa)
        1    0.000    0.000    0.000    0.000 api_implementation.py:32(<module>)
      185    0.000    0.000    0.000    0.000 api_implementation.py:83(Type)
        1    0.000    0.000    0.000    0.000 arpack.py:276(ArpackError)
        1    0.000    0.000    0.000    0.000 arpack.py:285(ArpackNoConvergence)
        1    0.000    0.000    0.000    0.000 arpack.py:303(_ArpackParams)
        1    0.000    0.000    0.000    0.000 arpack.py:372(_SymmetricArpackParams)
        1    0.000    0.000    0.000    0.000 arpack.py:589(_UnsymmetricArpackParams)
        1    0.001    0.001    0.001    0.001 arpack.py:7(<module>)
        1    0.000    0.000    0.000    0.000 arpack.py:891(SpLuInv)
        1    0.000    0.000    0.000    0.000 arpack.py:912(LuInv)
        1    0.000    0.000    0.000    0.000 arpack.py:926(IterInv)
        1    0.000    0.000    0.000    0.000 arpack.py:956(IterOpInv)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
      766    0.014    0.000    0.259    0.000 arrayprint.py:233(_array2string)
      766    0.005    0.000    0.265    0.000 arrayprint.py:343(array2string)
     2298    0.003    0.000    0.004    0.000 arrayprint.py:457(_extendLine)
      766    0.007    0.000    0.059    0.000 arrayprint.py:465(_formatArray)
        1    0.001    0.001    0.001    0.001 arrayprint.py:5(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:532(FloatFormat)
     2298    0.006    0.000    0.159    0.000 arrayprint.py:533(__init__)
     2298    0.076    0.000    0.154    0.000 arrayprint.py:547(fillFormat)
     2298    0.026    0.000    0.048    0.000 arrayprint.py:598(__call__)
     4162    0.008    0.000    0.010    0.000 arrayprint.py:632(_digits)
        1    0.000    0.000    0.000    0.000 arrayprint.py:638(IntegerFormat)
      766    0.008    0.000    0.016    0.000 arrayprint.py:639(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:658(LongFloatFormat)
     2298    0.001    0.000    0.001    0.000 arrayprint.py:661(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:688(LongComplexFormat)
      766    0.001    0.000    0.002    0.000 arrayprint.py:689(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:699(ComplexFormat)
      766    0.003    0.000    0.096    0.000 arrayprint.py:700(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:715(DatetimeFormat)
      766    0.001    0.000    0.001    0.000 arrayprint.py:716(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:743(TimedeltaFormat)
      766    0.000    0.000    0.000    0.000 arrayprint.py:744(__init__)
        1    0.000    0.000    0.000    0.000 arraysetops.py:26(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:20(Arrayterator)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 ascii.py:13(Codec)
        1    0.000    0.000    0.000    0.000 ascii.py:20(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 ascii.py:24(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 ascii.py:28(StreamWriter)
        1    0.000    0.000    0.000    0.000 ascii.py:31(StreamReader)
        1    0.000    0.000    0.000    0.000 ascii.py:34(StreamConverter)
        1    0.000    0.000    0.000    0.000 ascii.py:41(getregentry)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
        4    0.000    0.000    0.000    0.000 atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        3    0.002    0.001    0.145    0.048 base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:116(LinearModel)
        1    0.000    0.000    0.000    0.000 base.py:153(BaseEstimator)
        1    0.000    0.000    0.000    0.000 base.py:16(SparseWarning)
