	 oid	 dist	 closing	 contact	 relPosX	 relPosY	 relPosZ	 relVlX	 relVlY	 relVlZ	 closingDivDist	 closing1	 closing2	 closing1DivDist	 closing2DivDist	 ActionID	 linVelX	 linVelY	 linVelZ	angVel
8	15	-0.01	-0.11	1	-0.09	0.05	0.02	0	-0.11	0	-11	-0.11	0.02	0	0	0	0	0.5	0	0
8	15	0	-0.1	1	-0.09	0.05	0.02	-0.05	-0.13	0	-10	-0.1	0.09	0	0	0	0.01	0.49	0	0
8	15	0.01	-0.09	1	-0.1	0.04	0.02	-0.11	-0.16	0	-0.9	-0.09	0.17	0	0	0	0.01	0.48	0	0
8	15	0	-0.09	1	-0.11	0.02	0.02	-0.13	-0.2	0	-9	-0.09	0.22	0	0	0	0.01	0.48	0	0
8	15	0	-0.1	1	-0.12	-0.01	0.02	-0.14	-0.25	0	-10	-0.1	0.27	0	0	0	0.02	0.48	0	0
8	15	0	-0.1	1	-0.14	-0.04	0.02	-0.15	-0.3	0	-10	-0.1	0.32	0	0	0	0.01	0.49	0	0
8	15	0	-0.1	1	-0.15	-0.07	0.02	-0.16	-0.35	0	-10	-0.1	0.37	0	0	0	0.01	0.49	0	0
8	15	-0.01	-0.11	1	-0.16	-0.11	0.02	-0.13	-0.38	0	-11	-0.11	0.39	0	0	0	0.01	0.49	0	0
8	15	-0.01	-0.13	1	-0.17	-0.15	0.02	-0.1	-0.41	0	-13	-0.13	0.4	0	0	0	0	0.5	0	0
8	15	-0.01	-0.15	1	-0.18	-0.19	0.02	-0.03	-0.49	0	-15	0.45	-0.2	0	0	0	0	0.5	0	0
8	15	0.43	0	0	-0.29	0.5	0.02	0	0	0	0	0	0	0	0	0	0	0.5	0	0
8	15	0.38	-0.5	0	-0.29	0.45	0.02	0	-0.5	0	-0.1316	0	-0.5	0	0	0	0	0.5	0	0
8	15	0.33	-0.5	0	-0.29	0.4	0.02	0	-0.5	0	-0.1515	0	-0.5	0	0	0	0	0.5	0	0
8	15	0.28	-0.5	0	-0.29	0.35	0.02	0	-0.5	0	-0.1786	0	-0.5	0	0	0	0	0.5	0	0
8	15	0.23	-0.49	0	-0.29	0.3	0.02	0	-0.5	0	-0.213	0	-0.5	0	0	0	0	0.5	0	0
8	15	0.18	-0.49	0	-0.29	0.25	0.02	0	-0.5	0	-0.2722	0	-0.5	0	0	0	0	0.5	0	0
8	15	0.13	-0.48	0	-0.29	0.2	0.02	0	-0.5	0	-0.3692	0	-0.5	0	0	0	0	0.5	0	0
8	15	0.08	-0.46	0	-0.29	0.15	0.02	0	-0.5	0	-0.575	0	-0.5	0	0	0	0	0.5	0	0
8	15	0.04	-0.39	0	-0.29	0.1	0.02	0	-0.5	0	-0.975	0	-0.5	0	0	0	0	0.5	0	0
8	15	0.01	0	0	-0.29	0.05	0.02	0	-0.5	0	0	0	-0.5	0	0	0	0	0.5	0	0
8	15	0.01	0	0	-0.29	0	0.02	0	-0.5	0	0	0	-0.5	0	0	0	0	0.5	0	0
8	15	0.01	0	0	-0.29	-0.05	0.02	0	-0.5	0	0	0	0.5	0	0	0	0	0.5	0	0
8	15	0.04	0.39	0	-0.29	-0.1	0.02	0	-0.5	0	0.975	0	0.5	0	0	0	0	0.5	0	0
8	15	0.08	0.46	0	-0.29	-0.15	0.02	0	-0.5	0	0.575	0	0.5	0	0	0	0	0.5	0	0
8	15	0.13	0.48	0	-0.29	-0.2	0.02	0	-0.5	0	0.3692	0	0.5	0	0	0	0	0.5	0	0
8	15	0.18	0.49	0	-0.29	-0.25	0.02	0	-0.5	0	0.2722	0	0.5	0	0	0	0	0.5	0	0
8	15	0.23	0.49	0	-0.29	-0.3	0.02	0	-0.5	0	0.213	0	0.5	0	0	0	0	0.5	0	0
8	15	0.28	0.5	0	-0.29	-0.35	0.02	0	-0.5	0	0.1786	0	0.5	0	0	0	0	0.5	0	0
8	15	0.33	0.5	0	-0.29	-0.4	0.02	0	-0.5	0	0.1515	0	0.5	0	0	0	0	0.5	0	0
8	15	0.42	0	0	-0.21	0.5	0.02	0	0	0	0	0	0	0	0	0	0	0.5	0	0
8	15	0.38	-0.5	0	-0.21	0.45	0.02	0	-0.5	0	-0.1316	-0.5	0	0	0	0	0	0.5	0	0
