#sid	 oid	 dist	 closing	 contact	 relPosX	 relPosY	 relPosZ	 relVlX	 relVlY	 relVlZ	 closingDivDist	 closing1	 closing2	 closing1DivDist	 closing2DivDist	 ActionID	 linVelX	 linVelY	 linVelZ	 angVel
8	15	0.24	-0.48	0	-0.33	0.3	0.02	0	-0.5	0	-2	0	-0.5	0	-2.0833	0	0	0.5	0	0
8	15	0.19	-0.46	0	-0.33	0.25	0.02	0	-0.5	0	-2.4211	0	-0.5	0	-2.6316	0	0	0.5	0	0
8	15	0.15	-0.44	0	-0.33	0.2	0.02	0	-0.5	0	-2.9333	0	-0.5	0	-3.3333	0	0	0.5	0	0
8	15	0.1	-0.39	0	-0.33	0.15	0.02	0	-0.5	0	-3.9	0	-0.5	0	-5	0	0	0.5	0	0
8	15	0.07	-0.26	0	-0.33	0.1	0.02	0	-0.5	0	-3.7143	0	-0.5	0	-7.1429	0	0	0.5	0	0
8	15	0.06	0	0	-0.33	0.05	0.02	0	-0.5	0	0	0	-0.5	0	-8.3333	0	0	0.5	0	0
8	15	0.06	0	0	-0.33	0	0.02	0	-0.5	0	0	0	-0.5	0	-8.3333	0	0	0.5	0	0
8	15	0.06	0	0	-0.33	-0.05	0.02	0	-0.5	0	0	0	0.5	0	8.3333	0	0	0.5	0	0
8	15	0.07	0.26	0	-0.33	-0.1	0.02	0	-0.5	0	3.7143	0	0.5	0	7.1429	0	0	0.5	0	0
8	15	0.1	0.39	0	-0.33	-0.15	0.02	0	-0.5	0	3.9	0	0.5	0	5	0	0	0.5	0	0
8	15	0.14	0.44	0	-0.33	-0.2	0.02	0	-0.5	0	3.1429	0	0.5	0	3.5714	0	0	0.5	0	0
8	15	0.19	0.46	0	-0.33	-0.25	0.02	0	-0.5	0	2.4211	0	0.5	0	2.6316	0	0	0.5	0	0
8	15	0.24	0.48	0	-0.33	-0.3	0.02	0	-0.5	0	2	0	0.5	0	2.0833	0	0	0.5	0	0
8	15	0.29	0.48	0	-0.33	-0.35	0.02	0	-0.5	0	1.6552	0	0.5	0	1.7241	0	0	0.5	0	0
8	15	0.42	0	0	-0.14	0.5	0.02	0	0	0	0	0	0	0	0	0	0	0.5	0	0
8	15	0.38	-0.5	0	-0.14	0.45	0.02	0	-0.5	0	-1.3158	-0.5	0	-1.3158	0	0	0	0.5	0	0
8	15	0.32	-0.5	0	-0.14	0.4	0.02	0	-0.5	0	-1.5625	-0.5	0	-1.5625	0	0	0	0.5	0	0
8	15	0.28	-0.5	0	-0.14	0.35	0.02	0	-0.5	0	-1.7857	-0.5	0	-1.7857	0	0	0	0.5	0	0
8	15	0.22	-0.5	0	-0.14	0.3	0.02	0	-0.5	0	-2.2727	-0.5	0	-2.2727	0	0	0	0.5	0	0
8	15	0.18	-0.5	0	-0.14	0.25	0.02	0	-0.5	0	-2.7778	-0.5	0	-2.7778	0	0	0	0.5	0	0
8	15	0.13	-0.5	0	-0.14	0.2	0.02	0	-0.5	0	-3.8462	-0.5	0	-3.8462	0	0	0	0.5	0	0
8	15	0.08	-0.5	0	-0.14	0.15	0.02	0	-0.5	0	-6.25	-0.5	0	-6.25	0	0	0	0.5	0	0
8	15	0.02	-0.5	0	-0.14	0.1	0.02	0	-0.5	0	-25	-0.5	0	-25	0	0	0	0.5	0	0
8	15	-0.01	-0.18	1	-0.14	0.06	0.02	0.05	-0.18	0	-180	-0.18	-0.04	-180	-40	0	0	0.49	0	0
8	15	0.01	-0.16	1	-0.14	0.06	0.02	0	-0.16	0	-16	-0.16	0.03	-16	3	0	0	0.49	0	0
8	15	0.01	-0.15	1	-0.14	0.04	0.02	-0.04	-0.17	0	-15	-0.15	0.09	-15	9	0	0.01	0.48	0	0
8	15	0.01	-0.14	1	-0.15	0.02	0.02	-0.08	-0.19	0	-14	-0.14	0.15	-14	15	0	0	0.49	0	0
8	15	0	-0.14	1	-0.15	0	0.02	-0.1	-0.23	0	-140	-0.14	0.21	-140	210	0	0.01	0.49	0	0
8	15	0	-0.16	1	-0.16	-0.03	0.02	-0.11	-0.28	0	-160	-0.16	0.26	-160	260	0	0.01	0.49	0	0
8	15	0	-0.15	1	-0.18	-0.06	0.02	-0.12	-0.31	0	-150	-0.15	0.3	-150	300	0	0.01	0.49	0	0
8	15	0	-0.16	1	-0.19	-0.1	0.02	-0.11	-0.35	0	-160	-0.16	0.33	-160	330	0	0.02	0.49	0	0
8	15	0	-0.15	1	-0.2	-0.13	0.02	-0.12	-0.39	0	-150	-0.15	0.38	-150	380	0	0.01	0.5	0	0
8	15	0	0.1	1	-0.21	-0.18	0.02	-0.03	-0.49	0	100	0.42	-0.26	420	-260	0	0	0.5	0	0
8	15	0.42	0	0	0	0.5	0.02	0	0	0	0	0	0	0	0	0	0	0.5	0	0
8	15	0.38	-0.5	0	0	0.45	0.02	0	-0.5	0	-1.3158	-0.5	0	-1.3158	0	0	0	0.5	0	0
8	15	0.32	-0.5	0	0	0.4	0.02	0	-0.5	0	-1.5625	-0.5	0	-1.5625	0	0	0	0.5	0	0
8	15	0.28	-0.5	0	0	0.35	0.02	0	-0.5	0	-1.7857	-0.5	0	-1.7857	0	0	0	0.5	0	0
8	15	0.22	-0.5	0	0	0.3	0.02	0	-0.5	0	-2.2727	-0.5	0	-2.2727	0	0	0	0.5	0	0
8	15	0.18	-0.5	0	0	0.25	0.02	0	-0.5	0	-2.7778	-0.5	0	-2.7778	0	0	0	0.5	0	0
8	15	0.13	-0.5	0	0	0.2	0.02	0	-0.5	0	-3.8462	-0.5	0	-3.8462	0	0	0	0.5	0	0
8	15	0.08	-0.5	0	0	0.15	0.02	0	-0.5	0	-6.25	-0.5	0	-6.25	0	0	0	0.5	0	0
8	15	0.02	-0.5	0	0	0.1	0.02	0	-0.5	0	-25	-0.5	0	-25	0	0	0	0.49	0	0
8	15	0	0	1	0	0.08	0.02	-0.01	0	0	0	0	0.01	0	10	0	0	0.49	0	0
8	15	0	0	1	0	0.08	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	0	0	1	0	0.08	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	0	0	1	0	0.08	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	0	0	1	0	0.08	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	-0.01	0	1	0	0.07	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	-0.01	0	1	0	0.07	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	-0.01	0	1	0	0.07	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	-0.01	0	1	0	0.07	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	-0.01	0	1	0	0.07	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	0	0	1	0	0.08	0.02	0	0	0	0	0	0	0	0	0	0	0.49	0	0
8	15	0.42	0	0	-0.09	0.5	0.02	0	0	0	0	0	0	0	0	0	0	0.5	0	0
8	15	0.38	-0.5	0	-0.09	0.45	0.02	0	-0.5	0	-1.3158	-0.5	0	-1.3158	0	0	0	0.5	0	0
8	15	0.32	-0.5	0	-0.09	0.4	0.02	0	-0.5	0	-1.5625	-0.5	0	-1.5625	0	0	0	0.5	0	0
8	15	0.28	-0.5	0	-0.09	0.35	0.02	0	-0.5	0	-1.7857	-0.5	0	-1.7857	0	0	0	0.5	0	0
8	15	0.22	-0.5	0	-0.09	0.3	0.02	0	-0.5	0	-2.2727	-0.5	0	-2.2727	0	0	0	0.5	0	0
8	15	0.18	-0.5	0	-0.09	0.25	0.02	0	-0.5	0	-2.7778	-0.5	0	-2.7778	0	0	0	0.5	0	0
8	15	0.13	-0.5	0	-0.09	0.2	0.02	0	-0.5	0	-3.8462	-0.5	0	-3.8462	0	0	0	0.5	0	0
8	15	0.08	-0.5	0	-0.09	0.15	0.02	0	-0.5	0	-6.25	-0.5	0	-6.25	0	0	0	0.5	0	0
8	15	0.02	-0.5	0	-0.09	0.1	0.02	0	-0.5	0	-25	-0.5	0	-25	0	0	0	0.49	0	0
8	15	0	-0.12	1	-0.09	0.07	0.02	0.05	-0.12	0	-120	-0.12	-0.04	-120	-40	0	0	0.49	0	0
8	15	0	-0.11	1	-0.09	0.06	0.02	0	-0.11	0	-110	-0.11	0.02	-110	20	0	0	0.5	0	0
8	15	0	-0.12	1	-0.09	0.05	0.02	-0.05	-0.15	0	-120	-0.12	0.1	-120	100	0	0	0.5	0	0
8	15	0	-0.12	1	-0.1	0.03	0.02	-0.11	-0.19	0	-120	-0.12	0.19	-120	190	0	0	0.5	0	0
8	15	0	-0.11	1	-0.11	0.01	0.02	-0.12	-0.22	0	-110	-0.11	0.22	-110	220	0	0	0.5	0	0
8	15	0	-0.14	1	-0.12	-0.01	0.02	-0.12	-0.29	0	-140	-0.14	0.28	-140	280	0	0	0.5	0	0
8	15	0	-0.12	1	-0.14	-0.04	0.02	-0.13	-0.31	0	-120	-0.12	0.31	-120	310	0	0	0.5	0	0
8	15	0	-0.14	1	-0.15	-0.07	0.02	-0.11	-0.36	0	-140	-0.14	0.35	-140	350	0	0	0.5	0	0
8	15	-0.01	-0.14	1	-0.16	-0.11	0.02	-0.11	-0.4	0	-140	-0.14	0.39	-140	390	0	0	0.5	0	0
8	15	0	-0.16	1	-0.18	-0.15	0.02	-0.08	-0.44	0	-160	-0.16	0.42	-160	420	0	0	0.5	0	0
8	15	0	0.1	1	-0.19	-0.2	0.02	-0.05	-0.48	0	100	0.45	-0.18	450	-180	0	0	0.5	0	0
8	15	0.43	0	0	-0.26	0.5	0.02	0	0	0	0	0	0	0	0	0	0	0.5	0	0
8	15	0.38	-0.5	0	-0.26	0.45	0.02	0	-0.5	0	-1.3158	0	-0.5	0	-1.3158	0	0	0.5	0	0
8	15	0.33	-0.5	0	-0.26	0.4	0.02	0	-0.5	0	-1.5152	0	-0.5	0	-1.5152	0	0	0.5	0	0
8	15	0.28	-0.5	0	-0.26	0.35	0.02	0	-0.5	0	-1.7857	0	-0.5	0	-1.7857	0	0	0.5	0	0
8	15	0.23	-0.5	0	-0.26	0.3	0.02	0	-0.5	0	-2.1739	0	-0.5	0	-2.1739	0	0	0.5	0	0
8	15	0.18	-0.5	0	-0.26	0.25	0.02	0	-0.5	0	-2.7778	0	-0.5	0	-2.7778	0	0	0.5	0	0
8	15	0.13	-0.5	0	-0.26	0.2	0.02	0	-0.5	0	-3.8462	0	-0.5	0	-3.8462	0	0	0.5	0	0
8	15	0.08	-0.5	0	-0.26	0.15	0.02	0	-0.5	0	-6.25	0	-0.5	0	-6.25	0	0	0.5	0	0
8	15	0.03	-0.49	0	-0.26	0.1	0.02	0	-0.5	0	-16.3333	0	-0.5	0	-16.6667	0	0.01	0.49	0	0
8	15	0.01	-0.22	1	-0.26	0.07	0.02	-0.04	-0.24	0	-22	0.05	-0.24	5	-24	0	0.01	0.48	0	0
8	15	0	-0.23	1	-0.26	0.04	0.02	0	-0.24	0	-230	0.03	-0.24	30	-240	0	0	0.49	0	0
8	15	0	-0.26	1	-0.26	0.01	0.02	-0.01	-0.27	0	-260	0.07	-0.26	70	-260	0	0.01	0.49	0	0
